"traffic_volume","temp_l1","holiday","t"
4516,59.234,0,1
4767,61.1780000000001,0,2
5026,61.574,0,3
4918,62.564,0,4
5181,64.382,0,5
5584,65.4260000000001,0,6
6015,68.0360000000001,0,7
5791,69.2780000000001,0,8
4770,69.782,0,9
3539,67.9100000000001,0,10
2784,64.0760000000001,0,11
2361,61.214,0,12
1529,59.8280000000001,0,13
963,57.2180000000001,0,14
506,54.14,0,15
321,52.664,0,16
273,50.5760000000001,0,17
367,46.4540000000001,0,18
814,46.292,0,19
2718,43.484,0,20
5673,41.846,0,21
6511,41.1440000000001,0,22
5471,40.946,0,23
5097,48.7940000000001,0,24
4887,65.8760000000001,0,25
5337,68.1440000000001,0,26
5692,70.0880000000001,0,27
6137,71.6360000000001,0,28
4623,71.564,0,29
3591,68.9180000000001,0,30
2898,63.5,0,31
2637,59.072,0,32
1777,57.1100000000001,0,33
1015,55.58,0,34
598,53.798,0,35
369,52.5200000000001,0,36
312,50.5760000000001,0,37
367,50.0360000000001,0,38
835,48.0020000000001,0,39
2726,47.372,0,40
5689,46.706,0,41
6990,45.6620000000001,0,42
5985,45.356,0,43
5309,47.6780000000001,0,44
4603,53.2940000000001,0,45
4884,60.8540000000001,0,46
5104,65.1200000000001,0,47
5178,71.2760000000001,0,48
5501,73.814,0,49
5713,75.506,0,50
6292,77.0360000000001,0,51
6057,76.8380000000001,0,52
4907,76.1360000000001,0,53
3503,73.7780000000001,0,54
3037,69.2600000000001,0,55
2822,66.7040000000001,0,56
1992,65.516,0,57
1166,64.7780000000001,0,58
627,64.346,0,59
388,63.464,0,60
368,63.158,0,61
2489,60.998,0,62
5537,50.108,0,63
6628,48.3620000000001,0,64
5534,47.372,0,65
5403,45.356,0,66
4770,44.366,0,67
5217,44.5280000000001,0,68
5870,44.33,0,69
5967,45.284,0,70
6108,46.9040000000001,0,71
6128,47.534,0,72
6069,47.7680000000001,0,73
6169,47.4440000000001,0,74
5384,46.8860000000001,0,75
4063,45.8960000000001,0,76
3364,44.6,0,77
2971,43.934,0,78
2450,43.7,0,79
1832,42.9260000000001,0,80
1231,42.638,0,81
718,42.188,0,82
545,41.7200000000001,0,83
411,41.792,0,84
688,38.9120000000001,0,85
1352,37.7600000000001,0,86
2072,36.05,0,87
3342,35.6360000000001,0,88
4258,35.3120000000001,0,89
4861,35.492,0,90
5191,38.714,0,91
5669,40.8020000000001,0,92
5074,42.674,0,93
5025,44.546,0,94
5153,44.78,0,95
5024,44.33,0,96
4779,42.638,0,97
4362,42.3680000000001,0,98
3860,41.432,0,99
3160,41.0180000000001,0,100
2992,41.0180000000001,0,101
3202,40.6040000000001,0,102
1941,38.75,0,103
1233,37.742,0,104
323,37.3280000000001,0,105
312,36.6440000000001,0,106
627,36.5,0,107
1508,36.248,0,108
1539,35.4200000000001,0,109
2232,34.916,0,110
4568,34.916,0,111
4624,36.3200000000001,0,112
4529,37.5620000000001,0,113
5139,38.948,0,114
6640,39.7040000000001,0,115
6589,41.54,0,116
4429,43.016,0,117
4329,43.016,0,118
3833,43.322,0,119
4015,43.106,0,120
3382,43.016,0,121
2815,40.9280000000001,0,122
