"pred","se"
1887.90982115526,692.41513011524
1647.28608354656,1118.79091066148
1574.67068492617,1409.72375361057
1599.41029447396,1583.2601898604
1786.90161405592,1685.32603517056
2416.49192293991,1740.82998466309
3121.0092040914,1766.87806052257
3485.6973017577,1776.0994169723
3435.07470429372,1777.66730286183
3296.89215340862,1777.72420259986
3309.05036858845,1779.76320519766
3447.63466624697,1785.14046544114
3614.27995037214,1793.70660121326
3643.55291435014,1804.45448170733
3748.5188762913,1816.07236622558
3970.97030973416,1827.3356873616
4152.69178294572,1837.32674909937
4153.63502157312,1845.51092168829
3976.33391099139,1851.71385203666
3645.85443930204,1856.04326040419
3448.17855130699,1858.78998194951
3304.63858221343,1860.33216020338
3188.03550107163,1861.05678162244
3008.02797844563,1861.30494756041
2815.97801955345,1864.33469075484
2736.06402017117,1870.65116475172
2702.14205686603,1877.68788035904
2701.58810903496,1883.53719792235
2779.75876303911,1888.03505124141
3097.27539507045,1891.22307778498
3461.01293999716,1893.28238846359
3609.92433641102,1894.46623148146
3531.15992169867,1895.04294950732
3395.94464012948,1895.25486769185
3368.07777451128,1895.29429520301
3410.30562095227,1895.29475023966
3465.13706757807,1895.33375900758
3454.32612293426,1895.44295907575
3495.19473726335,1895.62149435016
3597.80442633374,1895.84950712101
3694.2826757729,1896.09959842512
3684.67115786855,1896.34518178611
3555.11667589585,1896.56552386772
3375.08342610247,1896.74786653475
3276.94742239777,1896.88735147073
3203.73083227198,1896.9855636609
3125.69466814381,1897.04844021697
3039.10363949454,1897.08412606061
2925.80034681494,1897.5372643481
2889.75375842184,1898.42512592939
2879.63494273236,1899.3539240248
2889.46167123765,1900.06497268864
2952.99523980397,1900.5661174564
3187.06229114823,1900.88737624717
3453.32240825128,1901.07004987039
3558.79985537788,1901.15749840644
3498.23069715273,1901.18854844447
3394.25403326049,1901.19372335859
3369.87445371047,1901.19395840741
3395.14368518193,1901.20117274799
3428.30755728716,1901.21998369924
3414.79997464751,1901.24990833893
3439.59629804323,1901.28754333707
3508.39775916272,1901.32839219531
3574.93336532927,1901.36817935396
3564.0180899669,1901.40362786477
3463.67801966176,1901.43277063004
3331.71624924611,1901.45491473313
3260.42177978799,1901.47039141028
3206.80072724156,1901.48021141225
3147.37046610112,1901.48571799396
3085.65438400824,1901.48829714223
3002.21714035389,1901.75506977272
2976.96619857129,1902.21995308908
2970.75739742867,1902.68294962762
2979.35823323039,1903.02460278398
3028.30996343139,1903.25568206075
3205.82583290277,1903.39650793397
3407.58127883565,1903.47119752231
3487.44639457341,1903.50314491938
3441.83532280368,1903.51206568792
3363.17475394564,1903.51256114081
3344.76422471728,1903.51392337884
3363.6749494998,1903.52079524061
3388.36317850339,1903.53429280805
3377.84509809926,1903.55325792707
3396.27595642392,1903.57540146553
3447.79912270411,1903.59819785313
3497.78247215307,1903.61947924464
3489.18103953427,1903.63774330025
3412.76180192203,1903.65222913525
3312.94469433682,1903.66283364229
3259.04485159404,1903.66994028632
3218.43172450862,1903.67422084345
3173.1825969676,1903.67645331249
3126.60504669386,1903.67738111728
3063.38319139629,1903.83174480741
3044.32469899504,1904.09749782161
3039.67650916872,1904.36108519151
3046.2556307376,1904.55520555125
3083.4589456475,1904.68619814396
3218.25782002293,1904.76579481321
3371.46313546735,1904.80783355686
3432.09254116098,1904.8256869453
3397.461258006,1904.83058921404
3337.72038905293,1904.83083259399
3323.74250828654,1904.83167038026
3338.08776028594,1904.83570454265
3356.80546974598,1904.84353322978
3348.80132451142,1904.85446863738
3362.77949416622,1904.86718951934
3401.86860024939,1904.8802498042
3439.80560655046,1904.89241483422
3433.25465385681,1904.90283400928
3375.18662734673,1904.91108150565
3299.40086927887,1904.91710656202
3258.48401666618,1904.92113455935
3227.64665478266,1904.92355333859
3193.26309641643,1904.92480927482
3157.90846114636,1904.92532725939
3109.89191613198,1905.01419842576
3095.42488783807,1905.1670953636
3091.89995765038,1905.31871341934
3096.90214051996,1905.43036046044
3125.16861300229,1905.50568836958
3227.57960015968,1905.55145091938
3343.97451821079,1905.57561236675
3390.0331874387,1905.58586758673
3363.71975492758,1905.58867967051
3318.32819713043,1905.58881796492
3307.70636102461,1905.58930285961
3318.60159146574,1905.59162929927
3332.81767137464,1905.59613966877
3326.73342727421,1905.60243698558
3337.35052374531,1905.60976034397
3367.04417077038,1905.61727747498
3395.86449600077,1905.62427808262
3390.88531976474,1905.63027304553
3346.7644795667,1905.63501772895
3289.18767441153,1905.63848329236
3258.10271571168,1905.64079971696
3234.67475294195,1905.64219036885
3208.55009197419,1905.64291219967
3181.69138067295,1905.64320971931
3145.21054861572,1905.69448171657
3134.22022509342,1905.78268349733
3131.54305230876,1905.87014529208
3135.34443938831,1905.9345481262
3156.82171007231,1905.97799885775
3234.63347912179,1906.00439406164
3323.07012725861,1906.0183286872
3358.06514167364,1906.02424213832
3338.07207260276,1906.02586298053
